avg_framerate,avg_frametime,max_frametime,min_frametime,stdev_frametime,entropy_framerate,AppMotionToPhotonLatency,label,
78,12.83,31,6.95,12.54,20.34214332,0.0324992,0,0      0
78,12.84,28.69,7.77,10.91,20.36421422,0.0325167,0,1      0
79,12.81,30.3,7.86,11.79,20.29801603,0.032429,0,2      0
78,12.86,30.9,5.98,12.87,20.40837056,0.0324021,0,3      0
79,12.8,31.13,6.95,12.62,20.27595966,0.0324544,0,4      0
81,12.52,29.84,5.82,12.39,19.66036613,0.0324636,0,5      0
79,12.66,30.77,6.23,12.73,19.96768191,0.0323828,0,6      0
78,12.85,31.29,6.48,12.89,20.38628997,0.0324171,0,7      0
80,12.66,30.87,4.88,13.34,19.96768191,0.0318471,0,8      0
80,12.57,29.34,5.04,12.44,19.77001067,0.0323854,0,9      0
78,12.83,29.78,6.75,11.93,20.34214332,0.0324229,0,10     0
63,16.06,145.33,7.77,77.14,27.704012,0.0323642,0,11     0
78,12.82,30.53,6.58,12.42,20.32007725,0.0323787,0,12     0
78,12.86,32.49,6.03,13.73,20.40837056,0.0323821,0,13     0
79,12.73,31.5,4.78,13.72,20.12170121,0.0323169,0,14     0
80,12.51,31.12,4.27,13.75,19.63845209,0.0323473,0,15     0
38,26.55,131.64,11.61,65.42,54.09232573,0.0323448,0,16     1
21,50.76,67.01,33.28,16.87,123.8569274,0.0321955,0,17     0
20,51.25,76.29,33.53,21.49,125.3584707,0.0322086,0,18     0
61,16.53,67.07,7.2,32.21,28.81103645,0.0322343,0,19     0
78,12.77,31.26,6.4,12.91,20.20981969,0.0321501,0,20     0
79,12.75,32.87,5.54,14.16,20.1657507,0.0321857,0,21     0
79,12.66,31.41,4.79,13.68,19.96768191,0.0322198,0,22     0
62,16.15,146.27,3.82,78.93,27.91534141,0.0322321,0,23     0
80,12.51,28.78,4.97,12.17,19.63845209,0.0324179,0,24     0
80,12.52,30.05,4.55,13.05,19.66036613,0.0322086,0,25     0
79,12.77,31.8,6.08,13.35,20.20981969,0.0447085,0,26     0
78,12.86,32.29,4.62,14.21,20.40837056,0.0322771,0,27     0
80,12.5,30.26,4.69,13.11,19.61654302,0.0309284,0,28     0
79,12.67,31.38,4.84,13.63,19.98966998,0.0309907,0,29     0
80,12.51,29.54,5.39,12.41,19.63845209,0.0312463,0,30     0
80,12.66,32.6,4.64,14.39,19.96768191,0.031429,0,31     0
80,12.51,30.39,5.48,12.85,19.63845209,0.0315888,0,32     0
80,12.51,28.18,4.21,12.18,19.63845209,0.0316536,0,33     0
80,12.65,30.35,3.79,13.52,19.94569876,0.0318101,0,34     0
63,16.04,167.11,6.38,90.14,27.6570924,0.0319235,0,35     0
80,12.51,29.23,4.15,12.77,19.63845209,0.0320181,0,36     0
80,12.51,28.11,5,11.79,19.63845209,0.0320659,0,37     0
