avg_framerate,avg_frametime,max_frametime,min_frametime,stdev_frametime,entropy_framerate,AppMotionToPhotonLatency,label
80,12.626,31.322,4.8,13.62719815,19.89295923,0.0415055,0
80,12.515,30.698,4.895,13.25695225,19.64940849,0.0415132,0
80,12.527,30.178,4.622,13.08406131,19.67570891,0.0408763,0
80,12.497,28.798,4.654,12.31643878,19.60997127,0.0428815,0
81,12.493,29.205,4.817,12.46987346,19.60120963,0.0414466,0
80,12.522,30.929,3.818,13.84186636,19.66474953,0.0414288,0
80,12.528,30.299,4.324,13.27789317,19.67790093,0.0414163,0
79,12.662,33.191,4.627,14.73037204,19.97207913,0.0414071,0
81,12.486,29.447,4.882,12.576006,19.58587868,0.0414357,0
80,12.507,32.101,4.88,14.04207253,19.63187885,0.0415178,0
80,12.527,30.334,4.576,13.18953003,19.67570891,0.0414862,0
79,12.654,30.693,5.657,12.91746122,19.95449143,0.0420891,0
80,12.502,29.886,5.03,12.75313671,19.62092444,0.0416756,0
80,12.739,33.248,6.613,13.94973227,20.14152106,0.0412778,0
81,12.525,30.156,4.02,13.33090196,19.67132501,0.0406861,0
80,12.495,30.156,4.523,13.11814516,19.60559035,0.0404762,0
45,22.539,110.611,4.864,56.64437427,43.62675614,0.0403132,0
35,29.254,41.243,10.865,15.30094946,61.3642692,0.0401633,0
32,31.333,91.079,7.905,42.88816849,67.06186204,0.0399732,0
40,25.123,68.87,5.065,32.6271906,50.32261189,0.0398444,0
59,17.166,209.949,4.833,115.0289539,30.32223097,0.0398229,0
80,12.527,29.942,5.04,12.77658665,19.67570891,0.0397641,0
80,12.499,30.435,4.557,13.2567363,19.61435239,0.0396121,0
81,12.481,30.24,4.987,12.9695549,19.57492949,0.0395249,0
80,12.521,30.561,4.561,13.32168158,19.6625578,0.0394843,0
81,12.481,31.168,4.071,13.86950779,19.57492949,0.0395184,0
79,12.688,28.856,3.987,12.61994972,20.02926085,0.0394227,0
80,12.511,29.79,3.895,13.18680099,19.64064327,0.0394578,0
81,12.495,29.586,4.258,12.91935263,19.60559035,0.039412,0
80,12.5,30.898,4.905,13.36541855,19.61654302,0.039265,0
80,12.516,29.13,4.493,12.56566283,19.65159992,0.0393939,0
80,12.507,28.993,4.005,12.7048045,19.63187885,0.0394463,0
64,15.786,140.488,4.229,75.55424997,27.06256811,0.0394432,0
80,12.517,29.791,4.024,13.13050148,19.6537914,0.0394235,0
80,12.496,30.747,4.206,13.578462,19.60778079,0.0394099,0
81,12.478,28.172,5.517,11.60464118,19.56836058,0.0393604,0
81,12.497,30.012,5,12.83601949,19.60997127,0.03936,0
79,12.705,31.617,5.331,13.55847469,20.06666679,0.0393712,0
79,12.753,31.665,6.728,13.01165079,20.17235981,0.0393462,0
78,12.848,31.905,6.821,13.09389829,20.38187444,0.039299,0
79,12.81,31.509,5.947,13.22982246,20.29801603,0.0392802,0
79,12.676,30.348,5.264,12.88697265,20.00286517,0.0392153,0
79,12.663,31.392,5.251,13.47259605,19.97427782,0.039118,0
42,24.174,119.604,6.552,60.82512432,47.84335073,0.0390349,0
23,43.544,66.156,22.113,22.02413886,102.1009405,0.0390114,0
