avg_framerate,avg_frametime,max_frametime,min_frametime,stdev_frametime,AppMotionToPhotonLatency,entropy_framerate,label
79,12.74,33.716,6.167,14.38833038,0.0354495,46.77227757,0
79,12.771,34.688,6.37,14.85057134,0.0354076,46.93086557,0
79,12.67,31.551,5.78,13.34234301,0.0354145,46.41457633,0
79,12.682,33.741,5.513,14.67251413,0.0354153,46.475857,0
78,12.859,33.092,5.65,14.22677835,0.0353995,47.38164151,0
61,16.377,154.266,3.855,83.4602158,0.0353528,66.05825406,0
79,12.782,32.8,6.039,13.91844995,0.0353303,46.98716485,0
79,12.807,31.11,6.307,12.86104336,0.0353198,47.11516851,0
78,12.835,31.11,7.016,12.57217312,0.0353452,47.2586162,0
79,12.683,34.623,5.686,15.09785624,0.035271,46.48096446,0
78,12.819,32.261,6.229,13.53442825,0.035196,47.17663529,0
78,12.822,37.376,5.716,16.61199242,0.0352466,47.19200452,0
79,12.799,30.877,6.168,12.78879018,0.0352398,47.07419967,0
78,12.83,32.595,6.62,13.56416818,0.0351436,47.23299407,0
74,13.647,35.337,5.086,15.5931065,0.0351863,51.45617638,0
78,12.814,32.258,7.194,13.1520444,0.0351839,47.15102216,0
71,14.722,141.77,8.326,75.26553467,0.0350906,57.11991388,0
19,53.794,141.77,10.029,67.09550765,0.0350247,309.2817907,0
20,52.765,105.049,27.557,39.52651006,0.0350318,301.8954422,0
20,50.64,105.049,12.019,46.73774674,0.0349606,286.7340865,0
20,50.843,79.637,7.525,36.29895339,0.0349727,288.1769675,0
21,50.199,69.905,29.233,20.33925259,0.034963,283.6036037,0
75,13.425,57.413,6.8,27.50912133,0.0352203,50.30146371,0
60,16.841,154.111,7.019,82.23500983,0.0355266,68.60864929,0
78,12.841,32.815,6.357,13.79026647,0.0356645,47.28936646,0
79,12.796,32.349,7.107,13.24036187,0.0358717,47.05883822,0
79,12.682,30.912,5.783,12.98329531,0.0361798,46.475857,0
79,12.653,32.27,5.519,13.85241643,0.0363656,46.32779011,0
79,12.792,32.524,5.013,14.18167706,0.0365,47.03835786,0
79,12.691,30.92,5.416,13.1382145,0.036611,46.52182825,0
80,12.538,31.524,4.17,14.01625804,0.0368532,45.74157456,0
78,12.832,33.686,5.334,14.69095654,0.0369866,47.24324259,0
79,12.657,31.937,5.468,13.68702599,0.0370735,46.34820744,0
79,12.791,31.228,6.341,12.91567677,0.0373093,47.03323805,0
79,12.658,33.925,4.735,15.09478562,0.0498102,46.35331205,0
62,16.149,164.639,4.296,89.34917586,0.0434031,64.81195938,0
79,12.652,30.297,4.296,13.27416515,0.0362834,46.32268607,0
81,12.461,30.297,3.778,13.52019937,0.036686,45.34991474,0
79,12.769,30.239,6.297,12.38484994,0.0368768,46.92063081,0
