avg_framerate,avg_frametime,max_frametime,min_frametime,stdev_frametime,entropy_framerate,AppMotionToPhotonLatency,label
80,12.494,28.559,4.471,12.26570081,19.60339997,0.0525538,0
80,12.511,29.082,3.95,12.77697269,19.64064327,0.0350974,0
81,12.46613,29.883,4.276,13.07761471,19.54237396,0.0408763,0
80,12.53,30.077,5.444,12.68130707,19.68228513,0.0428815,0
80,12.514,29.727,4.573,12.85865834,19.64721711,0.0436256,0
80,12.512,28.879,5.038,12.19380065,19.6428345,0.0437099,0
80,12.513,29.756,3.916,13.15886937,19.64502578,0.0436565,0
80,12.4988,28.209,4.935,11.87224024,19.61391427,0.0434649,0
78,12.76,30.088,4.523,13.0491186,20.18778276,0.0433436,0
81,12.4897,28.791,5.012,12.15928466,19.59398188,0.0429441,0
74,13.651,52.67,5.98,25.03758076,22.16995012,0.0425433,0
78,12.83744872,31.436,7.005,12.75929288,20.35858286,0.0420891,0
78,12.8349,32.76,6.96,13.52259874,20.35295746,0.0416756,0
80,12.5215,29.948,5.085,12.76161695,19.66365366,0.0412778,0
79,12.6717,31.017,5.1,13.32648717,19.99340844,0.0406861,0
80,12.5,30.596,4.639,13.31056213,19.61654302,0.0404762,0
80,12.496,30.294,4.556,13.17989029,19.60778079,0.0403132,0
79,12.656,31.069,4.713,13.5201612,19.95888806,0.0401633,0
80,12.5,29.567,4.793,12.67827153,19.61654302,0.0399732,0
79,12.665,30.284,5.886,12.59395626,19.97867533,0.0398444,0
80,12.5189,29.5,4.796,12.63783049,19.65795534,0.0398229,0
80,12.5,30.085,4.382,13.13886321,19.61654302,0.0397641,0
75,13.4848,52.058,5.269,24.98199902,21.79739781,0.0396121,0
81,12.4974,29.262,4.877,12.47497852,19.61084748,0.0395249,0
67,15.7417,91.553,5.681,46.94424224,26.95913637,0.0394843,0
26,38.9053,117.625,7.746,56.62903817,88.50132017,0.0395184,0
56,17.9333,41.296,4.695,18.53241097,32.16484909,0.0394227,0
80,12.5299,29.818,4.259,13.04191109,19.68206591,0.0394578,0
80,12.5059,30.701,5.221,13.12352742,19.62946877,0.039412,0
80,12.5353,30.293,4.407,13.23814039,19.69390421,0.039265,0
80,12.6089,31.201,4.774,13.57349236,19.85539961,0.0393939,0
79,12.68,31.201,5.529,13.24899887,20.01166294,0.0394463,0
80,12.5352,28.169,5.048,11.79727728,19.69368496,0.0394432,0
79,12.66178,29.732,4.973,12.67226519,19.97159543,0.0394235,0
80,12.5056,29.026,4.492,12.51038607,19.62881149,0.0394099,0
80,12.5019,30.291,4.374,13.25522366,19.62070536,0.0393604,0
76,13.39313,79.375,4.057,41.05600162,21.59245484,0.03936,0
69,14.613115,79.375,5.349,40.33148946,24.3508597,0.0393712,0
79,12.666,30.622,6.255,12.63110939,19.98087416,0.0393462,0
79,12.668,30.819,5.55,13.02975496,19.98527197,0.039299,0
80,12.515,28.015,4.354,12.01869961,19.64940849,0.0392802,0
80,12.5211,30.879,4.302,13.60700203,19.66277697,0.0392153,0
81,12.481,30.037,5.016,12.84516642,19.57492949,0.039118,0
80,12.4939,29.685,5.685,12.36860972,19.60318093,0.0390349,0
80,12.5173,29.223,5.374,12.23983897,19.65444885,0.0390114,0
80,12.527775,29.696,3.916,13.1245255,19.67740772,0.0390044,0
80,12.5,30.375,4.004,13.46060475,19.61654302,0.0388329,0
80,12.503,28.843,4.073,12.59373786,19.62311522,0.0387564,0
74,13.739,80.04,3.86,41.42625907,22.36772014,0.0387084,0
73,13.82,40.839,3.559,19.25752183,22.55006804,0.0386377,0
80,12.51,28.62,3.965,12.51943922,19.63845209,0.038608,0
81,12.4809,30.01,3.623,13.4288589,19.57471052,0.0385126,0
80,12.6164,28.917,4.014,12.64825584,19.87187136,0.0385381,0
81,12.4785556,28.557,4.461,12.27066141,19.56957711,0.0385507,0
80,12.627,29.846,4.86,12.7874968,19.89515615,0.0385438,0
79,12.6633,30.841,5.105,13.22811634,19.97493743,0.0385398,0
80,12.519,31.204,4.962,13.50851607,19.6581745,0.0385117,0
80,12.51,28.743,4.395,12.3975039,19.63845209,0.0385012,0
80,12.5147,28.752,4.497,12.35744344,19.64875107,0.0384453,0
69,14.64155,85.289,4.135,44.1350607,24.41592778,0.0383792,0
79,12.67,32.629,4.117,14.63129998,19.98966998,0.038399,0
80,12.516,30.527,4.487,13.33505757,19.65159992,0.03831,0
80,12.513,28.833,4.165,12.54685703,19.64502578,0.0382831,0
80,12.49,28.782,4.277,12.47248744,19.59463893,0.038185,0
80,12.507,29.906,4.336,13.05957721,19.63187885,0.0382117,0
80,12.5066,29.569,4.199,12.93431232,19.63100245,0.0381927,0
80,12.4968,28.477,4.341,12.2775565,19.60953317,0.038137,0
80,12.5046,29.335,4.21,12.80187733,19.62662058,0.0380552,0
80,12.5,28.11,4.091,12.18807985,19.61654302,0.0381436,0
80,12.504,29.427,4.118,12.89223543,19.62530606,0.0381725,0
80,12.505,29.585,4.371,12.86878751,19.62749694,0.0380793,0
70,14.42,93.696,3.703,49.15668539,23.90986588,0.0380664,0
80,12.526,29.573,4.279,12.89961016,19.67351693,0.0380937,0
66,15.35639,87.622,4.912,45.04136575,26.06280451,0.0381662,0
80,12.517,29.544,5.47,12.37697064,19.6537914,0.0380935,0
80,12.5367,30.105,4.176,13.23416985,19.69697363,0.0379737,0
81,12.456,29.107,4.238,12.67055962,19.52020223,0.0379061,0
79,12.66465,30.863,5.626,13.02324016,19.97790575,0.0378756,0
80,12.5027,30.57,5.149,13.08135743,19.62245798,0.0378636,0
79,12.657848,30.906,5.157,13.24304077,19.96295072,0.0378031,0
20,50.7973,91.376,8.34,41.52154162,123.9711256,0.0378034,0
56,17.9484,64.689,5.55,31.18713766,32.20131829,0.0378794,0
80,12.5286,30.502,4.954,13.12197887,19.67921617,0.0377679,0
80,12.526,29.534,4.649,12.71863736,19.67351693,0.0377351,0
80,12.517,29.526,4.577,12.7462562,19.6537914,0.0376516,0
80,12.6,29.673,4.06,13.04124673,19.83585674,0.0376968,0
78,12.8374,30.515,7.218,12.15747649,20.35847532,0.0376877,0
78,12.872,31.357,6.571,12.88244039,20.43487363,0.0376631,0
79,12.657,30.638,5.473,12.96278932,19.96108645,0.0376615,0
79,12.647,30.752,5.818,12.88494355,19.93910477,0.0376735,0
80,12.5147,29.134,5.417,12.17288357,19.64875107,0.0376597,0
80,12.495,28.197,4.446,12.07924671,19.60559035,0.0375752,0
64,14.8679,88.53,3.748,46.07556235,24.93510478,0.0375395,0
80,12.52,30.127,4.145,13.26154464,19.66036613,0.0375891,0
80,12.52,29.21,3.703,12.9544242,19.66036613,0.0376396,0
80,12.5097,30.191,4.149,13.29608613,19.63779475,0.0375597,0
80,12.508,28.127,4.283,12.11156556,19.63406988,0.037561,0
80,12.5203,28.267,4.549,12.06954645,19.66102363,0.0374784,0
80,12.4978,29.978,4.55,13.00838256,19.6117237,0.0373746,0
80,12.5045,29.821,4.464,12.95819086,19.62640149,0.0373512,0
80,12.495,29.551,4.321,12.87293227,19.60559035,0.037383,0
80,12.5098,28.978,4.242,12.59250984,19.63801386,0.0374332,0
81,12.4966,29.8,3.855,13.2112826,19.60909507,0.0373062,0
